Occupation_Accountant,Occupation_Architect,Occupation_Developer,Occupation_Doctor,Occupation_Engineer,Occupation_Entrepreneur,Occupation_Journalist,Occupation_Lawyer,Occupation_Manager,Occupation_Mechanic,Occupation_Media_Manager,Occupation_Musician,Occupation_Scientist,Occupation_Teacher,Occupation_Writer,Payment_of_Min_Amount_No,Payment_of_Min_Amount_Yes,Payment_Behaviour_High_spent_Large_value_payments,Payment_Behaviour_High_spent_Medium_value_payments,Payment_Behaviour_High_spent_Small_value_payments,Payment_Behaviour_Low_spent_Large_value_payments,Payment_Behaviour_Low_spent_Medium_value_payments,Payment_Behaviour_Low_spent_Small_value_payments,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age_in_months,Total_EMI_per_month,Amount_invested_monthly,Monthly_Balance
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19114.12,1824.8433333333328,3,4,3.0,4,3,7,11.27,2022.0,809.98,35.03040185583525,273,49.57494921489417,236.64268203272135,186.26670208571772
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19114.12,1824.8433333333328,3,4,3.0,4,3,9,13.27,4.0,809.98,33.053114497012245,274,49.57494921489417,21.465380264657146,361.44400385378196
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,143162.64,12187.22,1,5,8.0,3,6,3,2.1,3.0,1303.01,35.68583594909283,222,246.9923194537421,453.6151305781054,788.1145499681528
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,30689.89,2612.4908333333333,2,5,4.0,1,5,6,1.99,4.0,632.46,39.37721939916439,215,16.415451659824875,69.10700584725082,425.7266258262577
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,30689.89,2612.4908333333333,2,5,4.0,1,5,6,1.99,4.0,632.46,36.82446782218685,217,16.415451659824875,191.88624358002707,332.9473880934814
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4148862.0,2612.4908333333333,2,5,4.0,1,6,6,1.99,7.0,632.46,35.5792649548332,218,16.415451659824875,233.93341714114612,300.90021453236227
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,131313.4,10469.207759388815,0,1,8.0,2,0,2,9.34,4.0,352.16,31.025571099037258,376,911.2201793459374,966.0743358890512,290.5593920428604
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,31370.8,2825.233333333333,1,6,12.0,2,2,3,5.76,5.0,421.43,33.85409635172327,326,46.61612907334207,109.4207625788528,376.4864416811384
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,33751.27,2948.605833333333,5,5,20.0,3,16,19,11.0,8.0,1328.93,27.983092917100603,238,65.00817428651536,271.2081244457186,248.6442846010993
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,54392.16,4766.68,6,4,14.0,3,10,8,5.54,7.0,179.22,33.50246118473791,330,124.39208242092045,329.5529933931268,292.7229241859528
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,54392.16,4766.68,6,4,14.0,3,10,10,5.54,7.0,179.22,34.02279546061346,331,124.39208242092045,145.33057894012762,486.945338638952
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,25546.26,2415.855,8,7,14.0,5,16,14,7.83,7.0,758.44,38.6380786528206,227,101.3286373638512,105.83772025352778,314.4191423826211
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,25546.26,2415.855,8,7,14.0,5,16,15,1.83,7.0,758.44,38.485249511178864,229,101.3286373638512,141.04976298055809,279.2070996555907
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,31993.78,2942.148333333333,6,6,3097.0,2,8,14,6.28,1.0,818.22,37.190189832300256,210,45.14129822463578,23.27102220438635,465.80251290431124
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,32284.62,2749.762492341615,6,7,17.0,6,9,1150,9.22,10.0,1283.37,28.86135378675188,85,251.66006801375065,241.57066048913865,235.23027915549545
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,19300.34,1512.361666666667,6,7,17.0,5,51,18,9.95,8.0,2430.21,34.47884913064688,226,49.57206224445275,200.42709132280598,191.237013099408
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,19300.34,1512.361666666667,6,7,17.0,5,51,19,9.95,8.0,2430.21,37.36390440294918,228,49.57206224445275,44.509509846074074,337.15459457613986
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,10183.015,1074.5845833333333,7,5,17.0,-100,48,21,7.97,8.0,1672.43,23.679725156723148,131,37.58807283812568,50.04937041611942,299.82101507908817
